3415	CSE-304	-67	1429770510894	cse303
3414	CSE-204	-81	1429770488328	cse305
3413	CSE-205	-65	1429770488322	cse305
3412	CSE-B03	-74	1429770488312	cse305
3411	CSE-303	-65	1429770488306	cse305
3410	CSE-304	-42	1429770488299	cse305
3409	CSE-503	-76	1429770472714	cse305
3408	CSE-506	-90	1429770472710	cse305
3407	CSE-107	-82	1429770472707	cse305
3406	CSE-204	-73	1429770472704	cse305
3405	CSE-205	-73	1429770472696	cse305
3404	CSE-B03	-77	1429770472693	cse305
3403	CSE-303	-64	1429770472689	cse305
3402	CSE-304	-57	1429770472683	cse305
3401	CSE-506R	-90	1429770457123	cse305
3400	CSE-104	-91	1429770457102	cse305
3399	CSE-503	-82	1429770457085	cse305
3398	CSE-506	-85	1429770457082	cse305
3397	CSE-214	-89	1429770449908	cse303
3396	CSE-506	-97	1429770449906	cse303
3395	CSE-107	-83	1429770457024	cse305
3394	CSE-204	-91	1429770449904	cse303
3393	CSE-204	-73	1429770457016	cse305
3392	CSE-104	-91	1429770449901	cse303
3391	CSE-205	-73	1429770457014	cse305
3390	CSE-107	-80	1429770449899	cse303
3389	CSE-B03	-80	1429770457010	cse305
3388	CSE-503	-80	1429770449897	cse303
3387	CSE-303	-66	1429770456998	cse305
3386	CSE-205	-69	1429770449894	cse303
3385	CSE-304	-56	1429770456992	cse305
3384	CSE-B03	-63	1429770449893	cse303
3383	CSE-303	-73	1429770449891	cse303
3382	CSE-304	-52	1429770449886	cse303
3381	CSE-506R	-90	1429770441382	cse305
3380	CSE-104	-91	1429770441378	cse305
3379	CSE-214	-82	1429770441375	cse305
3378	CSE-503	-82	1429770441370	cse305
3377	CSE-506	-91	1429770441367	cse305
3376	CSE-107	-81	1429770441363	cse305
3375	CSE-204	-73	1429770441357	cse305
3374	CSE-205	-72	1429770441353	cse305
3373	CSE-B03	-78	1429770441348	cse305
3372	CSE-303	-63	1429770441344	cse305
3371	CSE-304	-59	1429770441332	cse305
3370	CSE-506	-97	1429770389923	cse303
3369	CSE-204	-84	1429770389916	cse303
3368	CSE-104	-83	1429770389909	cse303
3367	CSE-107	-80	1429770389901	cse303
3366	CSE-503	-77	1429770389881	cse303
3365	CSE-205	-76	1429770389879	cse303
3364	CSE-B03	-61	1429770389877	cse303
3363	CSE-303	-74	1429770389875	cse303
3362	CSE-304	-43	1429770389842	cse303
3361	CSE-204	-88	1429770328022	cse303
3360	CSE-104	-85	1429770328019	cse303
3359	CSE-107	-81	1429770328016	cse303
3358	CSE-503	-73	1429770328011	cse303
3357	CSE-205	-70	1429770328008	cse303
3356	CSE-B03	-69	1429770328005	cse303
3355	CSE-303	-68	1429770328002	cse303
3354	CSE-304	-44	1429770327998	cse303
3353	CSE-214	-89	1429770268128	cse303
3352	CSE-506	-93	1429770268125	cse303
3351	CSE-204	-80	1429770268122	cse303
3350	CSE-104	-85	1429770268120	cse303
3349	CSE-107	-81	1429770268115	cse303
3348	CSE-503	-86	1429770267990	cse303
3347	CSE-205	-81	1429770267987	cse303
3346	CSE-B03	-78	1429770267985	cse303
3345	CSE-303	-80	1429770267981	cse303
3344	CSE-304	-43	1429770267976	cse303
3343	CSE-214	-89	1429770207128	cse303
3342	CSE-506	-93	1429770207125	cse303
3341	CSE-204	-86	1429770207122	cse303
3340	CSE-104	-87	1429770207121	cse303
3339	CSE-107	-79	1429770207119	cse303
3338	CSE-503	-75	1429770207117	cse303
3337	CSE-205	-77	1429770207115	cse303
3336	CSE-B03	-76	1429770207113	cse303
3335	CSE-303	-71	1429770207111	cse303
3334	CSE-304	-44	1429770207105	cse303
3333	CSE-506	-93	1429770147031	cse303
3332	CSE-506R	-98	1429770147028	cse303
3331	CSE-204	-83	1429770147024	cse303
3330	CSE-104	-90	1429770147016	cse303
3329	CSE-107	-83	1429770147013	cse303
3328	CSE-503	-83	1429770147010	cse303
3327	CSE-205	-67	1429770147006	cse303
3326	CSE-B03	-63	1429770146999	cse303
3325	CSE-303	-72	1429770146996	cse303
3324	CSE-304	-42	1429770146993	cse303
3323	CSE-506R	-98	1429770079506	cse303
